image_path,caption
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/3655173465.jpg,A woman showing a children 's book who seems to be upset by the content .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/7669392800.jpg,"Numerous bicyclists wearing bicyclist apparel , helmets , goggles , and gloves racing fiercely down a paved road despite the rain ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/4545952009.jpg,"A woman in black tights , a white dress , and black jacket , is walking down a sidewalk with an empty street behind her ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/1207159468.jpg,A boy in a blue shirt is posing in front of an igloo type building with a person dangling from a rope above the building .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/2911928620.jpg,A professional motorcycle racer raises his arm in victory .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/7645700076.jpg,"cyclists lean into a turn , behind them is a barricade and behind that are people watching the cycling race ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/512101751.jpg,A white dog with a muzzle is running through an uncut field with a fence nearby .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/4604105970.jpg,A girl with her hair pulled back is wearing sunglasses .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/2326669450.jpg,There are seven children jumping for joy on a grass hill .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/2905942129.jpg,"A couple of smiling little boys ride together in a plastic chair-swing , one on the other 's lap ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/905022127.jpg,A man in a baseball cap is standing on a rocky beach at sunset with a fishing pole in his hands and the sun setting behind him .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/2095845115.jpg,Many people are crowded in a restaurant with white plastic table covers and bright light in the background .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/4523790717.jpg,A couple of women with long brown hair work on an art project in a room with others doing the same .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/4555412480.jpg,A man in military garb holds a video camera and shows the viewfinder to a nearby boy in a brown shirt .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/4561823639.jpg,A man standing alone playing with a saxophone in a empty square with red floor tiles .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/3131220160.jpg,A group of people in an urban setting are all looking in the same direction .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/276984593.jpg,A young man wearing shorts and a white t-shirt is sleeping on a black leather couch .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/871290666.jpg,There is an old man sitting on the edge of a concrete pillar wearing a hat .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/4803014767.jpg,Two women in costume dance while looking toward each other .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/3665421893.jpg,"A man in a white shirt , black vest and black tie with a black hat entertains a large crowd of people in a city with buildings rising in the background and trees all around ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/2292621342.jpg,Workers in safety vest patrol the streets on large horses .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/1112334131.jpg,A kid wearing a Gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/2868798.jpg,"Three girls are standing together in a room , one is listening , one is writing on a wall and the third is talking to them ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/325005410.jpg,"A crowd of people are sitting in bleachers , and some are holding American flags ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/5534793306.jpg,"A painter , wearing white shirt and white overalls , stands on a ladder and paints the pillar of a building white ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/1975171469.jpg,A child is playing with an arcade whack a mole style fish game .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/2097650932.jpg,A grinning girl sits in a pink wheeled cart sliding down a green ramp .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/4512324065.jpg,"An older woman holding a cup and picture of a young family leans against a cold wall , huddled up to keep warm ."
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/3716272233.jpg,The large white bird 's reflection shows in the water .
/content/drive/MyDrive/Multimodal-SSL-Hybrid/flickr30k_images/2763691333.jpg,A tennis player in a gray t-shirt is jumping and trying to hit a tennis ball .
